instances	feature_nb_cars	feature_nb_options	feature_nb_classes	feature_min_util	feature_avg_util	feature_max_util	feature_std_util	feature_avg_options	feature_min_pq_ratio	feature_avg_pq_ratio	feature_max_pq_ratio	feature_std_pq_ratio	feature_lcm_q_vals	feature_class_pop	algo_H	algo_F1u	algo_F1i	algo_IIu	algo_IIi	algo_IDu	algo_IDi	algo_IBu	algo_IBi	algo_F2u	algo_F2i	algo_F2Iu	algo_F2Ii	algo_F2Du	algo_F2Di	algo_F2Bu	algo_F2Bi
mar_23_375.in	0.500668	0.230769	0.461538	0.194667	0.568889	0.813333	0.216557	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	42.7629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_2_377.in	0.503338	0.230769	0.461538	0.00265252	0.3771	0.655172	0.209154	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	55.4679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_24_211.in	0.281709	0.230769	0.461538	0.118483	0.514218	0.701422	0.203713	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	25.3703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_25_408.in	0.544726	0.230769	0.461538	0.120098	0.553922	0.845588	0.241874	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	49.6351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_26_369.in	0.492657	0.230769	0.461538	0.0840108	0.627823	0.96206	0.304158	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	44.3352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_27_191.in	0.255007	0.230769	0.461538	0.0366492	0.579407	0.832461	0.268103	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	22.4752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_28_406.in	0.542056	0.230769	0.461538	0.140394	0.639573	0.992611	0.321614	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	48.5262	0.0175439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_29_371.in	0.495327	0.230769	0.461538	0.188679	0.581312	1.14016	0.330441	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	44.2263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_30_218.in	0.291055	0.230769	0.461538	0.142202	0.571101	1.16972	0.360432	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	28.0989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_31_374.in	0.499332	0.230769	0.461538	0.195187	0.637255	1.07219	0.31576	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	50.575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_32_317.in	0.423231	0.230769	0.461538	0.0694006	0.585699	1.11356	0.334344	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	39.9141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_33_175.in	0.233645	0.230769	0.461538	0.00571429	0.660952	1.22857	0.425496	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	20.9121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_3_365.in	0.487316	0.230769	0.461538	0.00273973	0.565753	0.906849	0.277357	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	46.5017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_34_382.in	0.510013	0.230769	0.461538	0.117801	0.593368	1.08639	0.350634	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	48.8849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_35_365.in	0.487316	0.230769	0.461538	0.0356164	0.640639	1.09315	0.348762	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	40.7747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_36_220.in	0.293725	0.230769	0.461538	0.0318182	0.576515	0.913636	0.308527	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	27.7801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_37_0.in	0	0.230769	0.461538	1	inf	inf	-nan	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.444444	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
mar_4_599.in	0.799733	0.230769	0.461538	0.00166945	0.568447	0.803005	0.263949	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	73.6132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_5_366.in	0.488652	0.230769	0.461538	0.00273224	0.567395	0.849727	0.303642	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	46.4427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_6_370.in	0.493992	0.230769	0.461538	0.0027027	0.564414	0.845946	0.300889	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	43.6305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_7_208.in	0.277704	0.230769	0.461538	0.00480769	0.633013	0.870192	0.288977	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	22.744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_8_372.in	0.496662	0.230769	0.461538	0.00268817	0.557796	1.03495	0.305545	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	46.2022	0.00819672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_9_387.in	0.516689	0.230769	0.461538	0.00258398	0.574505	0.963824	0.296237	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	45.2248	0.00519481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_0_8.in	0.0106809	0.230769	0.461538	0.125	0.416667	0.875	0.303338	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.87841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_10_360.in	0.480641	0.230769	0.461538	0.00277778	0.40463	0.619444	0.253786	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	50.2099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_11_198.in	0.264352	0.230769	0.461538	0.217172	0.468855	0.656566	0.175135	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	25.5349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_12_304.in	0.405874	0.230769	0.461538	0.00328947	0.379386	0.648026	0.217882	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	41.6935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_1_2.in	0.00267023	0.230769	0.461538	0.5	0.5	0.5	0	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.464811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_13_352.in	0.46996	0.230769	0.461538	0.0198864	0.319602	0.639205	0.211196	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	56.1512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_14_211.in	0.281709	0.230769	0.461538	0.00473934	0.298578	0.701422	0.243926	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	30.6265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_15_352.in	0.46996	0.230769	0.461538	0.00284091	0.250947	0.463068	0.170665	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	57.7592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_16_330.in	0.440587	0.230769	0.461538	0.0030303	0.228283	0.427273	0.161307	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	58.4131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_17_202.in	0.269693	0.230769	0.461538	0.0049505	0.231023	0.509901	0.184826	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	34.5384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_18_324.in	0.432577	0.230769	0.461538	0.00308642	0.272119	0.475309	0.147497	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	58.5366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_19_301.in	0.401869	0.230769	0.461538	0.00332226	0.391473	0.66113	0.236398	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	48.8806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_20_127.in	0.169559	0.230769	0.461538	0.00787402	0.362205	0.716535	0.236483	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	20.669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_21_299.in	0.399199	0.230769	0.461538	0.00334448	0.270903	0.538462	0.187381	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	50.7014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_2_143.in	0.190921	0.230769	0.461538	0.00699301	0.63986	0.986014	0.344265	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	18.2169	0.00704225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_22_278.in	0.371162	0.230769	0.461538	0.00359712	0.241007	0.478417	0.151649	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	47.509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_23_110.in	0.146862	0.230769	0.461538	0.00909091	0.309091	0.745455	0.225874	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	19.6481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_24_195.in	0.260347	0.230769	0.461538	0.00512821	0.382906	0.666667	0.204629	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	30.5724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_25_196.in	0.261682	0.230769	0.461538	0.00510204	0.229592	0.403061	0.167851	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	33.7838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_26_128.in	0.170895	0.230769	0.461538	0.0078125	0.373698	0.617188	0.266558	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	16.4686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_27_0.in	0	0.230769	0.461538	1	inf	inf	-nan	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.444444	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
may_3_304.in	0.405874	0.230769	0.461538	0.0230263	0.539474	0.819079	0.267589	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	40.2804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_4_247.in	0.329773	0.230769	0.461538	0.00404858	0.254386	0.732794	0.302936	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	41.5149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_5_189.in	0.252336	0.230769	0.461538	0.0687831	0.324515	0.62963	0.172497	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	27.7899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_6_352.in	0.46996	0.230769	0.461538	0.0369318	0.289299	0.568182	0.209794	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	52.2346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_7_317.in	0.423231	0.230769	0.461538	0.00315457	0.278128	0.580442	0.188796	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	48.7593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_8_176.in	0.23498	0.230769	0.461538	0.00568182	0.291667	0.607955	0.229667	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	25.6579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
may_9_318.in	0.424566	0.230769	0.461538	0.00314465	0.352201	0.578616	0.22592	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	43.3837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
